,product_id,seller_id,original_price,quantity_sold,total_reviews,total_review_pages
0,184036446,1,12990000,10484,2618,131
1,184061913,1,33990000,7894,1451,73
2,132068858,1,4990000,12909,202,11
3,184059211,1,24990000,4249,1546,78
4,142545270,1,3190000,12978,168,9
5,142545264,1,6999000,1007,79,4
6,172998120,1,6890000,1992,224,12
7,160801751,1,4990000,415,101,6
8,57809866,1,2490000,4465,543,28
9,101615454,1,6490000,281,94,5
10,135332196,1,2290000,380,74,4
11,113569117,1,7490000,1629,116,6
12,120450353,1,3690000,18048,117,6
13,133811136,1,3490000,1259,17,1
14,184058811,1,29990000,2294,791,40
15,170581659,1,5990000,1448,70,4
16,194034217,1,23990000,8,0,0
17,183243019,1,12990000,76,30,2
18,88100671,1,5290000,4789,106,6
19,123345348,1,16990000,2555,1186,60
20,198587877,1,2480000,236,10,1
21,164937168,1,3790000,11414,77,4
22,170580388,1,4990000,2111,72,4
23,194489407,1,10490000,11,3,1
24,162583980,1,27490000,28,8,1
25,177343384,1,8990000,59,15,1
26,159725951,1,3990000,25,3,1
27,191477618,1,2590000,11,2,1
28,179438706,1,3990000,114,49,3
29,158714974,1,2990000,2270,30,2
30,175845367,1,13990000,75,22,2
31,189677315,1,2890000,49,12,1
32,193310183,1,15990000,20,5,1
33,189658085,1,4490000,29,8,1
34,166034912,1,3990000,728,17,1
35,114766715,1,3990000,107,8,1
36,88255880,1,7690000,4772,107,6
37,170497385,1,9990000,212,97,5
38,81027831,1,8490000,46,21,2
39,194490386,1,8990000,8,2,1
40,135322157,1,2490000,39,13,1
41,162583902,1,25990000,37,19,1
42,127076439,1,9490000,45,16,1
43,193128003,1,7990000,10,0,0
44,194037967,1,25990000,9,1,1
45,187254759,1,4190000,13266,8,1
46,121252535,1,3890000,39,15,1
47,127058581,1,10990000,22,5,1
48,197670818,1,3990000,2,1,1
49,162593114,1,30990000,31,13,1
50,198256132,1,2490000,1,0,0
51,198648645,1,2490000,2,0,0
52,193263880,1,3490000,1,0,0
53,162593187,1,36990000,30,16,1
54,179438711,1,2790000,22,6,1
55,162593136,1,33990000,54,18,1
56,162478086,1,23490000,152,27,2
57,194041977,1,44490000,3,0,0
58,194487223,1,13990000,3,2,1
59,179159226,1,7990000,15,8,1
60,151588148,1,6990000,19,9,1
61,179930699,1,2890000,18,6,1
62,194041787,1,40990000,4,1,1
63,179930704,1,2999000,24,5,1
64,81034656,1,4190000,6168,188,10
65,158091991,1,12990000,9,4,1
66,171323116,1,34990000,21,6,1
67,197553025,1,3390000,N/A,0,0
68,155339564,1,1990000,28,8,1
69,168304536,1,12990000,22,10,1
70,73509365,1,12990000,N/A,0,0
71,195323206,1,5990000,N/A,0,0
72,193979830,1,6990000,2,0,0
73,198254452,1,3890000,N/A,0,0
74,198256127,1,4690000,N/A,0,0
75,196193895,1,4490000,N/A,0,0
76,140221779,1,8490000,11,4,1
77,162593820,1,6000000,22,0,0
78,185548019,1,19990000,N/A,0,0
79,155339564,179232,1989999,47,13,1
80,147969070,179232,1990000,94,29,2
81,120295859,179232,2290000,52,13,1
82,99376042,179232,3699000,88,35,2
83,135322157,179232,2290000,17,6,1
84,135332196,179232,2290000,48,12,1
85,89888994,179232,3490000,87,36,2
86,167495996,179232,2590000,63,12,1
87,171190775,179232,1690000,35,15,1
88,119464777,179232,1879000,81,34,2
89,126050455,179232,2290000,102,13,1
90,149776401,179232,1690000,17,8,1
91,133599948,179232,3469000,29,18,1
92,179589103,179232,3599000,9,2,1
93,172329599,179232,2199000,13,0,0
94,125600698,179232,1879000,20,10,1
95,129167166,179232,1990000,62,10,1
96,172334001,179232,3099000,6,1,1
97,172001933,179232,2690000,8,3,1
98,184696247,179232,4290000,7,2,1
99,140184098,179232,1690000,97,16,1
100,160819119,179232,4990000,53,22,2
101,158714974,179232,2990000,1,0,0
102,140309479,179232,1690000,22,8,1
103,172340710,179232,2990000,39,18,1
104,152880374,179232,4490000,6,5,1
105,179234820,179232,2649000,N/A,0,0
106,129167418,179232,2059000,41,12,1
107,158741127,179232,2990000,1,1,1
108,172335599,179232,2699000,13,5,1
109,93502532,179232,2390000,12,2,1
110,127372598,179232,2999000,25,5,1
111,137203873,179232,3269000,1,0,0
112,185931194,179232,2399000,1,1,1
113,167611667,179232,3690000,8,2,1
114,130744724,179232,3290000,6,2,1
115,138305946,179232,1879000,1,1,1
116,160203316,179232,3699000,12,4,1
117,159110705,179232,2590000,3,2,1
118,172589109,179232,3649000,7,3,1
119,58065346,179232,2990000,22,9,1
120,172319352,179232,2489000,N/A,0,0
121,173450217,179232,3290000,4,4,1
122,57809866,179232,2199000,58,17,1
123,113569117,179232,8590000,19,6,1
124,168520983,179232,2990000,2,0,0
125,172313857,179232,2990000,1,0,0
126,137582801,179232,2990000,5,1,1
127,179591105,179232,4699000,N/A,0,0
128,137572223,179232,4990000,1,0,0
129,172303189,179232,2969000,1,0,0
130,172309326,29952,4690000,63,12,1
131,169547788,29952,7490000,20,4,1
132,120450353,29952,3690000,73,22,2
133,167495996,29952,2590000,54,9,1
134,57809866,29952,2690000,188,50,3
135,171169353,29952,9990000,23,13,1
136,121744434,29952,4290000,84,29,2
137,178575037,29952,2690000,8,3,1
138,170775712,29952,3890000,26,7,1
139,190544267,29952,4490000,N/A,0,0
140,160819279,29952,4690000,19,5,1
141,143384981,29952,6490000,1,0,0
142,197966909,29952,3990000,1,0,0
143,137582801,29952,3690000,1,1,1
144,159853930,29952,16990000,7,1,1
145,176713246,29952,11990000,9,3,1
146,160819119,29952,4990000,19,9,1
147,172178476,29952,5690000,13,6,1
148,197889905,29952,3890000,N/A,0,0
149,156000562,29952,3290000,10,4,1
150,143359355,29952,2990000,20,10,1
151,140184098,29952,1990000,52,14,1
152,197497444,29952,10490000,N/A,0,0
153,174422886,29952,8490000,4,4,1
154,112821872,29952,2990000,91,26,2
155,138873172,29952,3390000,16,5,1
156,172670979,29952,18990000,N/A,0,0
157,190547041,29952,2890000,1,0,0
158,158348723,29952,6990000,1,1,1
159,144870494,29952,3690000,3,0,0
160,155833852,29952,2390000,3,1,1
161,160797086,29952,5999000,7,2,1
162,198968094,29952,2190000,N/A,0,0
163,158741127,29952,2990000,29,10,1
164,137572223,29952,4990000,8,3,1
165,196522828,29952,3490000,1,0,0
166,144142520,29952,4990000,N/A,0,0
167,165965622,29952,6690000,6,2,1
168,135322157,29952,2390000,60,19,1
169,162033655,29952,3690000,1,0,0
170,135332196,29952,2290000,25,7,1
171,141133864,29952,4290000,5,1,1
172,196760330,29952,4490000,1,0,0
173,196519562,29952,2990000,N/A,0,0
174,141529940,29952,4290000,N/A,0,0
175,128865871,20704,5990000,517,215,11
176,177746939,20704,11990000,79,11,1
177,173764269,20704,4690000,78,29,2
178,171934203,20704,9090000,50,13,1
179,102077313,20704,6990000,121,55,3
180,177141832,20704,8490000,33,7,1
181,125766378,20704,3990000,66,22,2
182,173764601,20704,5690000,38,8,1
183,57809866,20704,2490000,107,30,2
184,173206400,20704,6990000,4,2,1
185,164960337,20704,8990000,28,8,1
186,171117665,20704,30990000,2,1,1
187,172160182,20704,7490000,27,14,1
188,164758308,20704,6990000,8,3,1
189,168055450,20704,25990000,11,2,1
190,166389506,20704,2590000,135,20,1
191,191629873,20704,2890000,3,1,1
192,163039754,20704,4990000,17,9,1
193,158461088,20704,4990000,5,3,1
194,172175893,20704,8990000,1,0,0
195,167952107,20704,21990000,N/A,0,0
196,171121228,20704,33990000,N/A,0,0
197,171897574,20704,3890000,8,4,1
198,100993285,20704,6720000,3,1,1
199,174649410,20704,5990000,1,1,1
200,126051025,20704,2290000,16,11,1
201,196338179,20704,44490000,N/A,0,0
202,173205160,20704,10990000,3,1,1
203,159725951,20704,2990000,37,14,1
204,186243828,20704,8990000,N/A,0,0
205,198734319,20704,6990000,N/A,0,0
206,196343012,20704,8990000,N/A,0,0
207,171121793,20704,36990000,N/A,0,0
208,196044608,20704,10490000,N/A,0,0
209,192172856,20704,4290000,N/A,0,0
210,145367822,20704,3690000,1,0,0
211,198671718,20704,3990000,N/A,0,0
212,196348143,20704,4490000,N/A,0,0
213,196282354,20704,23990000,N/A,0,0
214,120450353,162514,3690000,135,44,3
215,126682340,162514,4290000,66,23,2
216,172826900,162514,4690000,10,6,1
217,166438257,162514,6690000,18,6,1
218,175147005,162514,8490000,8,3,1
219,57809866,162514,3890000,67,15,1
220,160801738,162514,4690000,55,29,2
221,172589109,162514,3890000,16,8,1
222,172949839,162514,9990000,12,7,1
223,169749516,162514,7490000,10,5,1
224,189466001,162514,2890000,1,0,0
225,169756083,162514,8990000,1,1,1
226,101615454,162514,6490000,27,8,1
227,178000116,162514,11990000,7,2,1
228,160801751,162514,4990000,33,10,1
229,172828967,162514,5690000,2,0,0
230,191477618,162514,2690000,2,1,1
231,143059636,162514,6990000,N/A,0,0
232,167219399,162514,18990000,N/A,0,0
233,158880691,162514,2990000,9,3,1
234,83368040,162514,9290000,34,17,1
235,192348147,162514,4490000,N/A,0,0
236,158895857,162514,5990000,N/A,0,0
237,140144656,162514,4990000,N/A,0,0
238,175174449,162514,25990000,N/A,0,0
239,143850131,162514,8490000,9,5,1
240,175192238,162514,30990000,N/A,0,0
241,196953614,162514,10490000,N/A,0,0
242,138873172,162514,3390000,6,1,1
243,175193503,162514,33990000,1,1,1
244,145972424,162514,3290000,9,4,1
245,196960146,162514,4490000,N/A,0,0
246,197186749,162514,3490000,N/A,0,0
247,160303941,162514,2290000,3,2,1
248,140747649,162514,3790000,1,0,0
249,198858451,162514,3990000,N/A,0,0
250,140163114,162514,4990000,1,0,0
251,93502532,162514,2490000,21,9,1
252,137203873,162514,2990000,5,0,0
253,124036010,162514,7690000,3,2,1
254,175967811,261128,9950000,209,94,5
255,174599533,261128,26223000,3,1,1
256,159887168,261128,15990000,21,8,1
257,174593387,261128,35607000,2,1,1
258,168940033,261128,29755000,4,1,1
259,168844555,261128,20970000,3,2,1
260,174589577,261128,32782000,N/A,0,0
261,174598949,261128,24912000,1,1,1
262,175167498,261128,4830000,2,0,0
263,174630782,261128,5050000,N/A,0,0
264,174890393,261128,9990000,N/A,0,0
265,159887243,261128,22250000,36,18,1
266,174067758,261128,9690000,N/A,0,0
267,159887161,261128,5850000,N/A,0,0
268,169307929,261128,6490000,N/A,0,0
269,197605015,261128,23990000,N/A,0,0
270,174604032,261128,4330000,1,1,1
271,159887246,261128,34950000,N/A,0,0
272,197605784,261128,40990000,N/A,0,0
273,159887172,261128,22450000,1,0,0
274,174865709,261128,2845000,N/A,0,0
275,188701072,212607,4690000,1,1,1
276,188698703,212607,5690000,1,0,0
277,188837747,212607,3890000,1,0,0
278,193207892,212607,23990000,N/A,0,0
279,188946882,212607,8490000,N/A,0,0
280,188833794,212607,8490000,N/A,0,0
281,193207799,212607,23990000,N/A,0,0
282,193208134,212607,25990000,N/A,0,0
283,193206340,212607,40990000,N/A,0,0
284,188701588,212607,4690000,N/A,0,0
285,190702606,212607,11990000,N/A,0,0
286,188868071,212607,7490000,N/A,0,0
287,193208070,212607,23990000,N/A,0,0
288,188136287,212607,33990000,N/A,0,0
289,188712123,212607,3690000,N/A,0,0
290,188701409,212607,4690000,1,0,0
291,186148059,212607,2990000,N/A,0,0
292,188941654,212607,8490000,N/A,0,0
293,164444757,212607,4490000,N/A,0,0
294,186147887,212607,2990000,N/A,0,0
295,188543973,212607,5690000,N/A,0,0
296,193206657,212607,40990000,N/A,0,0
297,164433441,212607,3490000,N/A,0,0
298,188833923,212607,8490000,N/A,0,0
299,188834089,212607,8490000,N/A,0,0
300,188832832,212607,9990000,N/A,0,0
301,188698092,212607,5690000,N/A,0,0
302,188833574,212607,9990000,N/A,0,0
303,188848407,212607,6690000,N/A,0,0
304,188832981,212607,9990000,N/A,0,0
305,164436745,212607,3990000,N/A,0,0
306,188128834,212607,30990000,N/A,0,0
307,164435092,212607,3490000,N/A,0,0
308,188833417,212607,9990000,N/A,0,0
309,190702241,212607,11990000,N/A,0,0
310,193209870,212607,25990000,N/A,0,0
311,188844603,212607,4690000,N/A,0,0
312,189174201,212607,3490000,N/A,0,0
313,189175871,212607,3490000,N/A,0,0
314,119461456,212607,3990000,N/A,0,0
315,185542957,212607,3690000,N/A,0,0
316,188845278,212607,4690000,N/A,0,0
317,193207281,212607,44490000,N/A,0,0
318,188870406,212607,7490000,N/A,0,0
319,188848998,212607,6690000,N/A,0,0
320,186148233,212607,2990000,N/A,0,0
321,193207578,212607,44490000,N/A,0,0
322,190702391,212607,11990000,N/A,0,0
323,188916959,212607,5490000,N/A,0,0
324,188835531,212607,3890000,N/A,0,0
325,193208254,212607,25990000,N/A,0,0
326,189174390,212607,3490000,N/A,0,0
327,188129338,212607,30990000,N/A,0,0
328,188907271,212607,4990000,N/A,0,0
329,188849154,212607,6690000,N/A,0,0
330,188910390,212607,4990000,N/A,0,0
331,188844932,212607,4690000,N/A,0,0
332,188846950,212607,4990000,N/A,0,0
333,190290064,245735,8990000,9,4,1
334,145867907,245735,3490000,5,1,1
335,145907337,245735,4990000,1,1,1
336,158959656,245735,5120000,3,1,1
337,192839254,245735,9990000,N/A,0,0
338,191548181,245735,25990000,N/A,0,0
339,145905253,245735,4990000,N/A,0,0
340,145751598,245735,5490000,N/A,0,0
341,158959446,245735,7030000,1,1,1
342,191548156,245735,30990000,N/A,0,0
343,192839201,245735,23490000,N/A,0,0
344,192839231,245735,21990000,N/A,0,0
345,191548101,245735,6370000,N/A,0,0
346,151588148,245735,6690000,N/A,0,0
347,145751360,245735,5490000,N/A,0,0
348,145867932,245735,3490000,5,1,1
349,192839219,245735,2890000,N/A,0,0
350,147426081,245735,3510000,N/A,0,0
351,130744724,162061,2790000,12,0,0
352,197647955,162061,2690000,N/A,0,0
353,197638478,162061,2090000,N/A,0,0
354,155339564,162061,1290000,N/A,0,0
355,197653568,162061,2420000,N/A,0,0
356,166389506,162061,2050000,2,1,1
357,195323206,162061,5190000,N/A,0,0
358,151588148,162061,4990000,N/A,0,0
359,193263880,162061,2990000,N/A,0,0
360,179159231,162061,3890000,N/A,0,0
361,143358429,162061,1990000,N/A,0,0
362,184696247,162061,3890000,N/A,0,0
363,142545270,162061,2790000,N/A,0,0
364,196193895,162061,3950000,N/A,0,0
365,119461456,162061,3750000,4,1,1
366,196519562,162061,2550000,N/A,0,0
367,135332196,162061,1790000,3,0,0
368,125766378,162061,2930000,1,1,1
369,123565899,162061,4450000,3,1,1
370,132068858,162061,3890000,1,1,1
371,124877310,86805,5490000,N/A,0,0
372,170338359,86805,3450000,N/A,0,0
373,179438711,86805,2890000,N/A,0,0
374,172313857,86805,2990000,N/A,0,0
375,197553025,86805,3390000,N/A,0,0
376,173764269,86805,4690000,N/A,0,0
377,179438706,86805,4290000,1,1,1
378,195333531,86805,10490000,N/A,0,0
379,142028538,86805,6490000,N/A,0,0
380,195352781,86805,8990000,N/A,0,0
381,165700071,86805,5990000,N/A,0,0
382,141529940,86805,4290000,N/A,0,0
383,190701486,86805,4990000,N/A,0,0
384,140747649,86805,3790000,N/A,0,0
385,166389506,86805,2490000,1,0,0
386,179930699,86805,2990000,N/A,0,0
387,179930704,86805,3190000,N/A,0,0
388,173764601,86805,5690000,N/A,0,0
389,57809866,86805,2490000,N/A,0,0
390,193979830,86805,6990000,N/A,0,0
391,137582801,86805,3690000,N/A,0,0
392,120450353,86805,3690000,N/A,0,0
393,125766378,86805,3690000,N/A,0,0
394,195318889,122357,7490000,11,2,1
395,195311658,122357,8490000,7,3,1
396,195334253,122357,8990000,6,4,1
397,195319552,122357,5990000,6,1,1
398,195436019,122357,4990000,1,0,0
399,99862142,122357,9990000,37,19,1
400,197143907,122357,3990000,N/A,0,0
401,195231233,122357,3890000,N/A,0,0
402,177746939,77917,11000000,15,4,1
403,173764269,77917,3985000,2,1,1
404,62269749,77917,28990000,40,19,1
405,126219116,77917,10990000,30,10,1
406,177141832,77917,8000000,3,2,1
407,132234204,77917,22590000,12,5,1
408,171934203,77917,9000000,2,1,1
409,173764601,77917,6000000,3,1,1
410,179159231,235971,4490000,3,2,1
411,198203859,235971,10490000,N/A,0,0
412,195323206,235971,5990000,N/A,0,0
413,140221779,235971,8490000,1,0,0
414,194125248,235971,3490000,N/A,0,0
415,198111545,235971,8490000,N/A,0,0
416,196193895,235971,4490000,N/A,0,0
417,130744724,235971,3490000,1,0,0
418,151588148,235971,6690000,N/A,0,0
419,123561325,235971,19990000,N/A,0,0
420,184667324,235971,6490000,N/A,0,0
421,192036708,213861,4990000,1,1,1
422,195247535,213861,13990000,1,1,1
423,144870494,213861,3290000,6,1,1
424,195333531,213861,10490000,N/A,0,0
425,195352781,213861,8990000,N/A,0,0
426,176036536,213861,8990000,N/A,0,0
427,165700071,213861,5990000,3,2,1
428,171110666,213861,12990000,N/A,0,0
429,164923596,213861,4290000,4,1,1
430,132068858,213861,4490000,5,4,1
431,181699158,150440,4790000,1,0,0
432,181699058,150440,7790000,N/A,0,0
433,181699331,150440,9590000,N/A,0,0
434,190691224,150440,8890000,N/A,0,0
435,190558349,150440,11590000,N/A,0,0
436,181699369,150440,3990000,N/A,0,0
437,181699278,150440,4550000,N/A,0,0
438,190558337,150440,5290000,N/A,0,0
439,181699370,150440,3890000,N/A,0,0
440,190558359,150440,6690000,N/A,0,0
441,191144763,150440,2890000,N/A,0,0
442,108888574,63,850000,56,17,1
443,147058165,63,2929000,15,5,1
444,191916060,63,2590000,N/A,0,0
445,108888161,63,1690000,18,5,1
446,57809866,63,2450000,67,16,1
447,181926713,63,2890000,N/A,0,0
448,147438290,63,3350000,N/A,0,0
449,93502532,63,2090000,26,11,1
450,119421964,10016,3690000,39,16,1
451,179717941,10016,33990000,14,8,1
452,178951652,10016,9990000,6,5,1
453,196094112,10016,23990000,N/A,0,0
454,181517965,10016,8990000,N/A,0,0
455,108888574,53024,800000,3,0,0
456,129167418,53024,2300000,N/A,0,0
457,185225486,53024,2900000,N/A,0,0
458,130744724,53024,3900000,6,1,1
459,57809866,53024,2600000,N/A,0,0
460,181503298,80348,5690000,31,8,1
461,197119751,80348,4990000,4,2,1
462,168304456,80348,3990000,1,0,0
463,197211969,80348,4990000,N/A,0,0
464,179554879,80348,8990000,4,3,1
465,150735429,80348,15990000,N/A,0,0
466,162593114,259954,30990000,N/A,0,0
467,170581659,259954,5690000,1,0,0
468,162593136,259954,33990000,N/A,0,0
469,170497385,259954,9990000,N/A,0,0
470,137864049,2350,4290000,22,6,1
471,181264344,2350,5990000,5,2,1
472,29931445,2350,2990000,121,35,2
473,181266509,2350,5290000,4,3,1
474,192859201,2350,10990000,1,0,0
475,181918564,2350,6990000,N/A,0,0
476,65492829,2350,4390000,12,5,1
477,151463645,2350,5490000,1,1,1
478,160801738,34716,4390000,N/A,0,0
479,169744019,34716,4690000,N/A,0,0
480,167383164,34716,4690000,3,1,1
481,160819119,34716,4790000,N/A,0,0
482,171592667,34716,4690000,N/A,0,0
483,137153211,222120,1790000,3,1,1
484,125590981,222120,2090000,58,21,2
485,198413871,222120,3590000,N/A,0,0
486,126296983,222120,1790000,1,1,1
487,198413668,222120,3390000,N/A,0,0
488,125595055,222120,1990000,2,1,1
489,161178498,259709,1990000,3,1,1
490,181216830,259709,4290000,N/A,0,0
491,162574433,259709,15990000,N/A,0,0
492,162574450,259709,17990000,N/A,0,0
493,161158099,259709,2690000,1,1,1
494,58065346,2198,2690000,N/A,0,0
495,57809866,2198,2490000,16,8,1
496,93502532,2198,1990000,N/A,0,0
497,57809866,172070,2019000,9,0,0
498,189677315,172070,2690000,N/A,0,0
499,129868798,186025,15990000,5,2,1
500,185887807,186025,18990000,2,0,0
501,147877951,186025,17990000,N/A,0,0
502,128446446,186025,17990000,2,1,1
503,187266104,189668,4990000,108,51,3
504,107348438,189668,4290000,111,57,3
505,168304456,189668,3490000,34,16,1
506,143358429,189668,2390000,80,32,2
507,67910637,197113,3190000,N/A,0,0
